run_key,subject_id,outer_fold,variant,dimension,seed,levels,feature_k,selected_structure_parameters,true_class,predicted_class,target_score,selected_temperature,similarity_prediction_raw,similarity_prediction_bounded,class_score_0,class_score_1,class_score_2,class_score_3
sub-cp004_ses-20210330_level-01B_run-001,sub-cp004,1,multicentroid,1000,42,51,50,"{""centroids_per_class"":2}",0,0,1.0,0.05,1.843629299171386,1.843629299171386,0.913669228553772,0.9084188938140868,0.8733449578285217,0.7913122177124023
sub-cp004_ses-20210330_level-01B_run-007,sub-cp004,1,multicentroid,1000,42,51,50,"{""centroids_per_class"":2}",0,0,1.0,0.05,2.1466879890451414,2.1466879890451414,0.9183173775672911,0.9140864610671996,0.8868898153305054,0.8779317140579224
sub-cp004_ses-20210330_level-01B_run-012,sub-cp004,1,multicentroid,1000,42,51,50,"{""centroids_per_class"":2}",0,0,1.0,0.05,1.8526233924831448,1.8526233924831448,0.9351596236228944,0.9324572086334229,0.8970638513565063,0.810490608215332
sub-cp004_ses-20210330_level-02B_run-003,sub-cp004,1,multicentroid,1000,42,51,50,"{""centroids_per_class"":2}",1,1,2.0,0.05,2.3557822059321056,2.3557822059321056,0.90923410654068,0.9261576533317566,0.9140121936798096,0.8911871910095215
sub-cp004_ses-20210330_level-02B_run-008,sub-cp004,1,multicentroid,1000,42,51,50,"{""centroids_per_class"":2}",1,1,2.0,0.05,2.054996525911141,2.054996525911141,0.9047080278396606,0.9246822595596312,0.9022693634033204,0.7994560599327087
sub-cp004_ses-20210330_level-02B_run-010,sub-cp004,1,multicentroid,1000,42,51,50,"{""centroids_per_class"":2}",1,2,2.0,0.05,2.3248531442136704,2.3248531442136704,0.915615439414978,0.9333586096763612,0.946402907371521,0.8588593006134033
sub-cp004_ses-20210330_level-03B_run-002,sub-cp004,1,multicentroid,1000,42,51,50,"{""centroids_per_class"":2}",2,2,3.0,0.05,2.494030344449069,2.494030344449069,0.8935978412628174,0.919123351573944,0.9433701038360596,0.8704578876495361
sub-cp004_ses-20210330_level-03B_run-005,sub-cp004,1,multicentroid,1000,42,51,50,"{""centroids_per_class"":2}",2,2,3.0,0.05,2.5336907554516515,2.5336907554516515,0.8758785724639893,0.885178804397583,0.9086623191833496,0.8690124154090881
sub-cp004_ses-20210330_level-03B_run-011,sub-cp004,1,multicentroid,1000,42,51,50,"{""centroids_per_class"":2}",2,2,3.0,0.05,2.4542468189947657,2.4542468189947657,0.9086005687713624,0.9376779198646544,0.964192032814026,0.8619264364242554
sub-cp004_ses-20210330_level-04B_run-004,sub-cp004,1,multicentroid,1000,42,51,50,"{""centroids_per_class"":2}",3,3,4.0,0.05,2.918136971683752,2.918136971683752,0.8749850988388062,0.8734250068664551,0.8958476185798645,0.9204128980636596
sub-cp004_ses-20210330_level-04B_run-006,sub-cp004,1,multicentroid,1000,42,51,50,"{""centroids_per_class"":2}",3,3,4.0,0.05,2.906445823503132,2.906445823503132,0.8644126653671265,0.859447717666626,0.8857700824737549,0.9074040651321412
sub-cp004_ses-20210330_level-04B_run-009,sub-cp004,1,multicentroid,1000,42,51,50,"{""centroids_per_class"":2}",3,3,4.0,0.05,2.8182007648368304,2.8182007648368304,0.8788567185401917,0.8732662200927734,0.8955988883972168,0.912057638168335
sub-cp011_ses-20210408_level-01B_run-001,sub-cp011,1,multicentroid,1000,42,51,50,"{""centroids_per_class"":2}",0,0,1.0,0.05,2.0217434168938566,2.0217434168938566,0.9209977388381958,0.9085272550582886,0.8740751147270203,0.8658042550086975
sub-cp011_ses-20210408_level-01B_run-007,sub-cp011,1,multicentroid,1000,42,51,50,"{""centroids_per_class"":2}",0,0,1.0,0.05,1.9314449797642883,1.9314449797642883,0.8688797950744629,0.8343520164489746,0.8133606910705566,0.8021944165229797
sub-cp011_ses-20210408_level-01B_run-012,sub-cp011,1,multicentroid,1000,42,51,50,"{""centroids_per_class"":2}",0,0,1.0,0.05,2.106891311844887,2.106891311844887,0.899554967880249,0.8769193887710571,0.8535466194152832,0.8576605319976807
sub-cp011_ses-20210408_level-02B_run-003,sub-cp011,1,multicentroid,1000,42,51,50,"{""centroids_per_class"":2}",1,3,2.0,0.05,3.060846319240909,3.060846319240909,0.7365003824234009,0.7311103940010071,0.7560055255889893,0.7962602376937866
sub-cp011_ses-20210408_level-02B_run-008,sub-cp011,1,multicentroid,1000,42,51,50,"{""centroids_per_class"":2}",1,1,2.0,0.05,2.377385097872639,2.377385097872639,0.9014907479286194,0.9166276454925536,0.898087203502655,0.8906584978103638
sub-cp011_ses-20210408_level-02B_run-010,sub-cp011,1,multicentroid,1000,42,51,50,"{""centroids_per_class"":2}",1,2,2.0,0.05,2.4089499292153715,2.4089499292153715,0.9031671285629272,0.9172630906105042,0.9350413084030152,0.8708104491233826
sub-cp011_ses-20210408_level-03B_run-002,sub-cp011,1,multicentroid,1000,42,51,50,"{""centroids_per_class"":2}",2,3,3.0,0.05,2.9366777529596777,2.9366777529596777,0.7680689692497253,0.7800310850143433,0.8097526431083679,0.819608211517334
sub-cp011_ses-20210408_level-03B_run-005,sub-cp011,1,multicentroid,1000,42,51,50,"{""centroids_per_class"":2}",2,2,3.0,0.05,2.4545052742073725,2.4545052742073725,0.8946410417556763,0.8966147899627686,0.9062985181808472,0.8835723400115967
sub-cp011_ses-20210408_level-03B_run-011,sub-cp011,1,multicentroid,1000,42,51,50,"{""centroids_per_class"":2}",2,2,3.0,0.05,2.7018738317090385,2.7018738317090385,0.8466925621032715,0.8397523760795593,0.8722089529037476,0.8634825348854065
sub-cp011_ses-20210408_level-04B_run-004,sub-cp011,1,multicentroid,1000,42,51,50,"{""centroids_per_class"":2}",3,3,4.0,0.05,3.226501302729763,3.226501302729763,0.7907030582427979,0.7759014964103699,0.8123654127120972,0.8660117983818054
sub-cp011_ses-20210408_level-04B_run-006,sub-cp011,1,multicentroid,1000,42,51,50,"{""centroids_per_class"":2}",3,3,4.0,0.05,3.3463397245500164,3.3463397245500164,0.8017223477363586,0.8083034157752991,0.8452108502388,0.9004499316215515
sub-cp011_ses-20210408_level-04B_run-009,sub-cp011,1,multicentroid,1000,42,51,50,"{""centroids_per_class"":2}",3,3,4.0,0.05,3.0128402298103163,3.0128402298103163,0.8493728637695312,0.8395936489105225,0.8602650165557861,0.9025901556015016
sub-cp016_ses-20210528_level-01B_run-001,sub-cp016,1,multicentroid,1000,42,51,50,"{""centroids_per_class"":2}",0,0,1.0,0.05,1.676028502993912,1.676028502993912,0.9578260183334352,0.9246070981025696,0.8890517950057983,0.828434944152832
sub-cp016_ses-20210528_level-01B_run-007,sub-cp016,1,multicentroid,1000,42,51,50,"{""centroids_per_class"":2}",0,0,1.0,0.05,1.8305217944154497,1.8305217944154497,0.9044241905212402,0.8762840628623962,0.8565967082977295,0.8028755784034729
sub-cp016_ses-20210528_level-01B_run-012,sub-cp016,1,multicentroid,1000,42,51,50,"{""centroids_per_class"":2}",0,0,1.0,0.05,1.759543497877745,1.759543497877745,0.9411202669143676,0.9015384912490844,0.8803609609603882,0.8376009464263916
sub-cp016_ses-20210528_level-02B_run-003,sub-cp016,1,multicentroid,1000,42,51,50,"{""centroids_per_class"":2}",1,0,2.0,0.05,1.9250044618271256,1.9250044618271256,0.9399442672729492,0.9365887641906738,0.9158941507339478,0.820502758026123
sub-cp016_ses-20210528_level-02B_run-008,sub-cp016,1,multicentroid,1000,42,51,50,"{""centroids_per_class"":2}",1,1,2.0,0.05,1.9398330675858064,1.9398330675858064,0.9270905256271362,0.9385794401168824,0.9066147208213806,0.7993855476379395
sub-cp016_ses-20210528_level-02B_run-010,sub-cp016,1,multicentroid,1000,42,51,50,"{""centroids_per_class"":2}",1,1,2.0,0.05,2.02715026370134,2.02715026370134,0.9097359776496888,0.92873877286911,0.9040798544883728,0.7948024868965149
sub-cp016_ses-20210528_level-03B_run-002,sub-cp016,1,multicentroid,1000,42,51,50,"{""centroids_per_class"":2}",2,2,3.0,0.05,2.3655069868978678,2.3655069868978678,0.8420612215995789,0.8707088828086853,0.8868337869644165,0.7786914110183716
sub-cp016_ses-20210528_level-03B_run-005,sub-cp016,1,multicentroid,1000,42,51,50,"{""centroids_per_class"":2}",2,2,3.0,0.05,2.333360710096627,2.333360710096627,0.8581992983818054,0.8854323625564575,0.8979690670967102,0.7906072735786438
sub-cp016_ses-20210528_level-03B_run-011,sub-cp016,1,multicentroid,1000,42,51,50,"{""centroids_per_class"":2}",2,2,3.0,0.05,2.3026454845269213,2.3026454845269213,0.854347288608551,0.882390022277832,0.8902287483215332,0.782534122467041
sub-cp016_ses-20210528_level-04B_run-004,sub-cp016,1,multicentroid,1000,42,51,50,"{""centroids_per_class"":2}",3,3,4.0,0.05,3.0212741594483674,3.0212741594483674,0.8819838166236877,0.8893084526062012,0.9064228534698486,0.94181227684021
sub-cp016_ses-20210528_level-04B_run-006,sub-cp016,1,multicentroid,1000,42,51,50,"{""centroids_per_class"":2}",3,3,4.0,0.05,3.079088489349367,3.079088489349367,0.8867489099502563,0.8913732767105103,0.9128924608230592,0.952000617980957
sub-cp016_ses-20210528_level-04B_run-009,sub-cp016,1,multicentroid,1000,42,51,50,"{""centroids_per_class"":2}",3,3,4.0,0.05,2.843396684317562,2.843396684317562,0.8860043287277222,0.8905790448188782,0.9025659561157228,0.9255248308181764
sub-cp027_ses-20210722_level-01B_run-001,sub-cp027,1,multicentroid,1000,42,51,50,"{""centroids_per_class"":2}",0,1,1.0,0.05,1.9153714616222448,1.9153714616222448,0.9289963245391846,0.9302786588668824,0.9005039930343628,0.8154261112213135
sub-cp027_ses-20210722_level-01B_run-007,sub-cp027,1,multicentroid,1000,42,51,50,"{""centroids_per_class"":2}",0,0,1.0,0.05,1.834399408455133,1.834399408455133,0.9394172430038452,0.939030110836029,0.8981955051422119,0.8088335990905762
sub-cp027_ses-20210722_level-01B_run-012,sub-cp027,1,multicentroid,1000,42,51,50,"{""centroids_per_class"":2}",0,0,1.0,0.05,1.798825515822991,1.798825515822991,0.9567312598228456,0.9406450986862184,0.908561110496521,0.8354504108428955
sub-cp027_ses-20210722_level-02B_run-003,sub-cp027,1,multicentroid,1000,42,51,50,"{""centroids_per_class"":2}",1,1,2.0,0.05,2.073697849676305,2.073697849676305,0.9225491881370544,0.9505984783172609,0.9242682456970216,0.8192689418792725
