run_key,subject_id,outer_fold,variant,dimension,seed,levels,feature_k,selected_structure_parameters,true_class,predicted_class,target_score,selected_temperature,similarity_prediction_raw,similarity_prediction_bounded,class_score_0,class_score_1,class_score_2,class_score_3
sub-cp004_ses-20210330_level-01B_run-001,sub-cp004,1,onlinehd,1000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",0,1,1.0,0.05,1.885343271879334,1.885343271879334,0.4818405508995056,0.5485383868217468,0.4296668171882629,0.3015873432159424
sub-cp004_ses-20210330_level-01B_run-007,sub-cp004,1,onlinehd,1000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",0,1,1.0,0.05,2.358644440265982,2.358644440265982,0.4300142526626587,0.5161677002906799,0.4142780601978302,0.458464652299881
sub-cp004_ses-20210330_level-01B_run-012,sub-cp004,1,onlinehd,1000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",0,1,1.0,0.05,2.00876678527893,2.00876678527893,0.4436988532543182,0.554619312286377,0.4404716491699219,0.3176574409008026
sub-cp004_ses-20210330_level-02B_run-003,sub-cp004,1,onlinehd,1000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",1,1,2.0,0.05,2.5551981367283734,2.5551981367283734,0.323577731847763,0.5345830917358398,0.5168389678001404,0.4499969184398651
sub-cp004_ses-20210330_level-02B_run-008,sub-cp004,1,onlinehd,1000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",1,1,2.0,0.05,2.199873362070983,2.199873362070983,0.3524393737316131,0.5689459443092346,0.5007743239402771,0.3141201734542846
sub-cp004_ses-20210330_level-02B_run-010,sub-cp004,1,onlinehd,1000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",1,2,2.0,0.05,2.6506275721302117,2.6506275721302117,0.2726833820343017,0.5498586893081665,0.5767284035682678,0.3934680819511413
sub-cp004_ses-20210330_level-03B_run-002,sub-cp004,1,onlinehd,1000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",2,2,3.0,0.05,2.8519301885339345,2.8519301885339345,0.243840605020523,0.5382305979728699,0.6218639016151428,0.397203117609024
sub-cp004_ses-20210330_level-03B_run-005,sub-cp004,1,onlinehd,1000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",2,2,3.0,0.05,2.934186416746254,2.934186416746254,0.3109921216964721,0.4677157402038574,0.5644357204437256,0.4358001351356506
sub-cp004_ses-20210330_level-03B_run-011,sub-cp004,1,onlinehd,1000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",2,2,3.0,0.05,2.8889509426863658,2.8889509426863658,0.2260737866163253,0.5417237877845764,0.643551230430603,0.3770924210548401
sub-cp004_ses-20210330_level-04B_run-004,sub-cp004,1,onlinehd,1000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",3,3,4.0,0.05,3.887870198785509,3.887870198785509,0.2751140594482422,0.4491016566753387,0.4625433087348938,0.6156951189041138
sub-cp004_ses-20210330_level-04B_run-006,sub-cp004,1,onlinehd,1000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",3,3,4.0,0.05,3.859763133568373,3.859763133568373,0.2818728685379028,0.4717636406421661,0.4319226741790771,0.611877977848053
sub-cp004_ses-20210330_level-04B_run-009,sub-cp004,1,onlinehd,1000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",3,3,4.0,0.05,3.840471392367304,3.840471392367304,0.2993611693382263,0.4573932886123657,0.4549564719200134,0.5999566912651062
sub-cp011_ses-20210408_level-01B_run-001,sub-cp011,1,onlinehd,1000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",0,1,1.0,0.05,2.1132037162163058,2.1132037162163058,0.4253414273262024,0.577295184135437,0.3658585846424103,0.4518750011920929
sub-cp011_ses-20210408_level-01B_run-007,sub-cp011,1,onlinehd,1000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",0,1,1.0,0.05,2.07949329043819,2.07949329043819,0.4146499633789062,0.5661691427230835,0.3080603182315826,0.430107057094574
sub-cp011_ses-20210408_level-01B_run-012,sub-cp011,1,onlinehd,1000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",0,1,1.0,0.05,2.4793542180286807,2.4793542180286807,0.3994309902191162,0.5351223945617676,0.3718090951442718,0.4849552810192108
sub-cp011_ses-20210408_level-02B_run-003,sub-cp011,1,onlinehd,1000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",1,3,2.0,0.05,3.1233526933446942,3.1233526933446942,0.2739226818084717,0.4080948233604431,0.4121087491512298,0.4315758943557739
sub-cp011_ses-20210408_level-02B_run-008,sub-cp011,1,onlinehd,1000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",1,1,2.0,0.05,2.631310985588914,2.631310985588914,0.3205656707286834,0.5279569029808044,0.4857316017150879,0.4774699211120605
sub-cp011_ses-20210408_level-02B_run-010,sub-cp011,1,onlinehd,1000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",1,2,2.0,0.05,2.619525619156747,2.619525619156747,0.2621132135391235,0.5639560222625732,0.5845305323600769,0.3972763419151306
sub-cp011_ses-20210408_level-03B_run-002,sub-cp011,1,onlinehd,1000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",2,3,3.0,0.05,3.1179050397079395,3.1179050397079395,0.2427581995725631,0.4674299359321594,0.447000652551651,0.4836430549621582
sub-cp011_ses-20210408_level-03B_run-005,sub-cp011,1,onlinehd,1000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",2,2,3.0,0.05,2.872814813126462,2.872814813126462,0.3323007822036743,0.4891793429851532,0.5088750720024109,0.4698309302330017
sub-cp011_ses-20210408_level-03B_run-011,sub-cp011,1,onlinehd,1000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",2,3,3.0,0.05,3.1891046127029234,3.1891046127029234,0.3095405995845794,0.4545394480228424,0.4894542992115021,0.4912484288215637
sub-cp011_ses-20210408_level-04B_run-004,sub-cp011,1,onlinehd,1000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",3,3,4.0,0.05,3.799574326401631,3.799574326401631,0.3284288048744201,0.4001997709274292,0.3977994620800018,0.5391587018966675
sub-cp011_ses-20210408_level-04B_run-006,sub-cp011,1,onlinehd,1000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",3,3,4.0,0.05,3.8578250420041833,3.8578250420041833,0.2387484610080719,0.4459793269634247,0.4379929602146148,0.591945230960846
sub-cp011_ses-20210408_level-04B_run-009,sub-cp011,1,onlinehd,1000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",3,3,4.0,0.05,3.525829537239207,3.525829537239207,0.3238840699195862,0.4922957122325897,0.4065814614295959,0.5563579201698303
sub-cp016_ses-20210528_level-01B_run-001,sub-cp016,1,onlinehd,1000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",0,1,1.0,0.05,1.7698593598989605,1.7698593598989605,0.5083245635032654,0.5526604652404785,0.403327614068985,0.3280693590641022
sub-cp016_ses-20210528_level-01B_run-007,sub-cp016,1,onlinehd,1000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",0,1,1.0,0.05,1.864795374278635,1.864795374278635,0.4770649373531341,0.5078994035720825,0.4359107315540313,0.3313638567924499
sub-cp016_ses-20210528_level-01B_run-012,sub-cp016,1,onlinehd,1000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",0,0,1.0,0.05,1.541712943591887,1.541712943591887,0.5240399241447449,0.4938331842422485,0.430815041065216,0.3425832092761993
sub-cp016_ses-20210528_level-02B_run-003,sub-cp016,1,onlinehd,1000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",1,1,2.0,0.05,2.1826559974466337,2.1826559974466337,0.4093426167964935,0.5660912394523621,0.5014566779136658,0.3045255541801452
sub-cp016_ses-20210528_level-02B_run-008,sub-cp016,1,onlinehd,1000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",1,1,2.0,0.05,2.0793252502612023,2.0793252502612023,0.3801972568035126,0.5967995524406433,0.4802475273609161,0.2883879244327545
sub-cp016_ses-20210528_level-02B_run-010,sub-cp016,1,onlinehd,1000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",1,1,2.0,0.05,2.1731648203888274,2.1731648203888274,0.3626550436019897,0.5694117546081543,0.4935929775238037,0.3111805617809295
sub-cp016_ses-20210528_level-03B_run-002,sub-cp016,1,onlinehd,1000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",2,2,3.0,0.05,2.892472894333168,2.892472894333168,0.224225103855133,0.4924838542938232,0.5955259203910828,0.3441060185432434
sub-cp016_ses-20210528_level-03B_run-005,sub-cp016,1,onlinehd,1000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",2,2,3.0,0.05,2.7976173242435536,2.7976173242435536,0.2255218029022216,0.5170167684555054,0.5830535292625427,0.3524555265903473
sub-cp016_ses-20210528_level-03B_run-011,sub-cp016,1,onlinehd,1000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",2,2,3.0,0.05,2.6168068547189387,2.6168068547189387,0.2332696616649627,0.5388549566268921,0.5608569979667664,0.3389452993869781
sub-cp016_ses-20210528_level-04B_run-004,sub-cp016,1,onlinehd,1000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",3,3,4.0,0.05,3.9177819242812206,3.9177819242812206,0.295524388551712,0.4253471195697784,0.4838744401931762,0.6316689848899841
sub-cp016_ses-20210528_level-04B_run-006,sub-cp016,1,onlinehd,1000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",3,3,4.0,0.05,3.9544272496093833,3.9544272496093833,0.2914909422397613,0.4391238391399383,0.4652550518512726,0.6592086553573608
